arxiv_id,system,status,rouge1_f,rouge1_p,rouge1_r,rouge2_f,rouge2_p,rouge2_r,rougeLsum_f,rougeLsum_p,rougeLsum_r,system_words,reference_words
2608.09930v1,full,ok,0.2509505703422053,0.2773109243697479,0.22916666666666666,0.02298850574712644,0.025423728813559324,0.02097902097902098,0.22813688212927755,0.25210084033613445,0.20833333333333334,116,136
2608.09930v1,lead3,ok,0.17573221757322177,0.22105263157894736,0.14583333333333334,0.03375527426160337,0.0425531914893617,0.027972027972027972,0.16736401673640167,0.21052631578947367,0.1388888888888889,93,136
2608.09930v1,extractive,ok,0.3111111111111111,0.19444444444444445,0.7777777777777778,0.13370473537604458,0.08347826086956522,0.3356643356643357,0.2805555555555555,0.1753472222222222,0.7013888888888888,557,136
2608.09928v1,full,ok,0.30303030303030304,0.5238095238095238,0.2131782945736434,0.16066481994459833,0.27884615384615385,0.11284046692607004,0.2699724517906336,0.4666666666666667,0.18992248062015504,99,244
2608.09928v1,lead3,ok,0.21686746987951808,0.4864864864864865,0.13953488372093023,0.0606060606060606,0.136986301369863,0.038910505836575876,0.18072289156626506,0.40540540540540543,0.11627906976744186,75,244
2608.09928v1,extractive,ok,0.46936114732724904,0.35363457760314343,0.6976744186046512,0.13594771241830064,0.10236220472440945,0.20233463035019456,0.4250325945241199,0.32023575638506874,0.6317829457364341,486,244
2608.09925v1,full,ok,0.3591331269349845,0.5087719298245614,0.27751196172248804,0.07476635514018691,0.10619469026548672,0.057692307692307696,0.3281733746130031,0.4649122807017544,0.2535885167464115,112,203
2608.09925v1,lead3,ok,0.2098360655737705,0.3333333333333333,0.15311004784688995,0.026402640264026406,0.042105263157894736,0.019230769230769232,0.17704918032786887,0.28125,0.1291866028708134,94,203
2608.09925v1,extractive,ok,0.42314049586776864,0.32323232323232326,0.6124401913875598,0.10945273631840796,0.08354430379746836,0.15865384615384615,0.37024793388429755,0.2828282828282828,0.5358851674641149,389,203
2608.09900v1,full,ok,0.3942652329749104,0.47413793103448276,0.3374233128834356,0.1444043321299639,0.17391304347826086,0.12345679012345678,0.3655913978494624,0.4396551724137931,0.3128834355828221,109,155
2608.09900v1,lead3,ok,0.2711864406779661,0.4383561643835616,0.19631901840490798,0.08547008547008547,0.1388888888888889,0.06172839506172839,0.2542372881355932,0.410958904109589,0.18404907975460122,73,155
2608.09900v1,extractive,ok,0.27702702702702703,0.1696551724137931,0.754601226993865,0.1038374717832957,0.06353591160220995,0.2839506172839506,0.2545045045045045,0.15586206896551724,0.6932515337423313,692,155
2608.09898v1,full,ok,0.2340425531914893,0.39285714285714285,0.16666666666666666,0.0374331550802139,0.06306306306306306,0.026615969581749048,0.22340425531914895,0.375,0.1590909090909091,115,249
2608.09898v1,lead3,ok,0.2,0.5,0.125,0.03048780487804878,0.07692307692307693,0.019011406844106463,0.17575757575757575,0.4393939393939394,0.10984848484848485,67,249
2608.09898v1,extractive,ok,0.38412291933418696,0.2901353965183752,0.5681818181818182,0.07702182284980745,0.05813953488372093,0.11406844106463879,0.3380281690140845,0.2553191489361702,0.5,502,249
2608.09893v1,full,ok,0.3885350318471337,0.5213675213675214,0.3096446700507614,0.15384615384615385,0.20689655172413793,0.12244897959183673,0.3630573248407643,0.48717948717948717,0.2893401015228426,115,177
2608.09893v1,lead3,ok,0.1081081081081081,0.22580645161290322,0.07106598984771574,0.0311284046692607,0.06557377049180328,0.02040816326530612,0.1003861003861004,0.20967741935483872,0.06598984771573604,58,177
2608.09893v1,extractive,ok,0.3922829581993569,0.28705882352941176,0.6192893401015228,0.10645161290322581,0.07783018867924528,0.1683673469387755,0.3762057877813505,0.2752941176470588,0.5939086294416244,417,177
2608.09861v1,full,ok,0.31780821917808216,0.5918367346938775,0.21722846441947566,0.14325068870523414,0.26804123711340205,0.09774436090225563,0.30136986301369867,0.5612244897959183,0.20599250936329588,92,247
2608.09861v1,lead3,ok,0.19596541786743515,0.425,0.12734082397003746,0.02318840579710145,0.05063291139240506,0.015037593984962405,0.1786743515850144,0.3875,0.11610486891385768,83,247
2608.09861v1,extractive,ok,0.44245142002989535,0.3681592039800995,0.5543071161048689,0.15292353823088456,0.12718204488778054,0.19172932330827067,0.4125560538116592,0.34328358208955223,0.5168539325842697,360,247
2608.09855v1,full,ok,0.4444444444444445,0.6178861788617886,0.3470319634703196,0.1823529411764706,0.2540983606557377,0.14220183486238533,0.42690058479532167,0.5934959349593496,0.3333333333333333,121,214
2608.09855v1,lead3,ok,0.18045112781954886,0.5106382978723404,0.1095890410958904,0.060606060606060615,0.17391304347826086,0.03669724770642202,0.17293233082706766,0.48936170212765956,0.1050228310502283,48,214
2608.09855v1,extractive,ok,0.4361111111111111,0.313373253493014,0.7168949771689498,0.12256267409470753,0.088,0.2018348623853211,0.3861111111111111,0.2774451097804391,0.634703196347032,501,214
2608.09836v1,full,ok,0.28242074927953886,0.4666666666666667,0.2024793388429752,0.09855072463768116,0.16346153846153846,0.07053941908713693,0.25936599423631124,0.42857142857142855,0.1859504132231405,102,215
2608.09836v1,lead3,ok,0.13924050632911394,0.2972972972972973,0.09090909090909091,0.044585987261146494,0.0958904109589041,0.029045643153526972,0.12658227848101267,0.2702702702702703,0.08264462809917356,70,215
2608.09836v1,extractive,ok,0.3752969121140143,0.2633333333333333,0.6528925619834711,0.1380952380952381,0.09682804674457429,0.24066390041493776,0.34679334916864607,0.24333333333333335,0.6033057851239669,580,215
2608.09834v1,full,ok,0.42492917847025496,0.6578947368421053,0.3138075313807531,0.2792022792022792,0.4336283185840708,0.20588235294117646,0.40793201133144474,0.631578947368421,0.301255230125523,103,210
2608.09834v1,lead3,ok,0.18241042345276876,0.4117647058823529,0.11715481171548117,0.08524590163934427,0.19402985074626866,0.0546218487394958,0.18241042345276876,0.4117647058823529,0.11715481171548117,69,210
2608.09834v1,extractive,ok,0.4057971014492754,0.31042128603104213,0.5857740585774058,0.26162790697674426,0.2,0.37815126050420167,0.3884057971014493,0.29711751662971175,0.5606694560669456,407,210
2608.09819v1,full,ok,0.3090909090909091,0.5368421052631579,0.2170212765957447,0.14024390243902438,0.24468085106382978,0.09829059829059829,0.296969696969697,0.5157894736842106,0.20851063829787234,87,213
2608.09819v1,lead3,ok,0.2601156069364162,0.40540540540540543,0.19148936170212766,0.029069767441860468,0.045454545454545456,0.021367521367521368,0.20809248554913296,0.32432432432432434,0.15319148936170213,107,213
2608.09819v1,extractive,ok,0.3181818181818182,0.22129783693843594,0.5659574468085107,0.05035971223021583,0.035,0.08974358974358974,0.3038277511961722,0.2113144758735441,0.5404255319148936,576,213
2608.09805v1,full,ok,0.3680981595092025,0.5309734513274337,0.28169014084507044,0.06790123456790124,0.09821428571428571,0.05188679245283019,0.3374233128834356,0.48672566371681414,0.25821596244131456,112,201
2608.09805v1,lead3,ok,0.21305841924398622,0.3974358974358974,0.14553990610328638,0.020761245674740483,0.03896103896103896,0.014150943396226415,0.1718213058419244,0.32051282051282054,0.11737089201877934,79,201
2608.09805v1,extractive,ok,0.40934065934065933,0.28932038834951457,0.6995305164319249,0.1046831955922865,0.07392996108949416,0.1792452830188679,0.37637362637362637,0.26601941747572816,0.6431924882629108,502,201
2608.09802v1,full,ok,0.2834224598930481,0.4818181818181818,0.20075757575757575,0.06989247311827956,0.11926605504587157,0.049429657794676805,0.25668449197860965,0.43636363636363634,0.18181818181818182,103,245
2608.09802v1,lead3,ok,0.18817204301075266,0.32407407407407407,0.13257575757575757,0.027027027027027025,0.04672897196261682,0.019011406844106463,0.16129032258064516,0.2777777777777778,0.11363636363636363,106,245
2608.09802v1,extractive,ok,0.33333333333333337,0.2777777777777778,0.4166666666666667,0.06382978723404255,0.053164556962025315,0.07984790874524715,0.3,0.25,0.375,356,245
2608.09792v1,full,ok,0.3109756097560976,0.3953488372093023,0.2562814070351759,0.06134969325153375,0.078125,0.050505050505050504,0.3048780487804878,0.3875968992248062,0.25125628140703515,126,197
2608.09792v1,lead3,ok,0.1589958158995816,0.475,0.09547738693467336,0.01687763713080169,0.05128205128205128,0.010101010101010102,0.1506276150627615,0.45,0.09045226130653267,39,197
2608.09792v1,extractive,ok,0.35877862595419846,0.28923076923076924,0.4723618090452261,0.034482758620689655,0.027777777777777776,0.045454545454545456,0.3091603053435114,0.24923076923076923,0.40703517587939697,324,197
2608.09779v1,full,ok,0.27988338192419826,0.4948453608247423,0.1951219512195122,0.04692082111436951,0.08333333333333333,0.0326530612244898,0.23323615160349853,0.41237113402061853,0.16260162601626016,92,236
2608.09779v1,lead3,ok,0.16666666666666669,0.46296296296296297,0.1016260162601626,0.02684563758389262,0.07547169811320754,0.0163265306122449,0.13999999999999999,0.3888888888888889,0.08536585365853659,51,236
2608.09779v1,extractive,ok,0.38814814814814813,0.30536130536130535,0.532520325203252,0.08320950965824665,0.06542056074766354,0.11428571428571428,0.37037037037037035,0.2913752913752914,0.508130081300813,411,236
2608.09772v1,full,ok,0.2900763358778626,0.36893203883495146,0.2389937106918239,0.05384615384615385,0.06862745098039216,0.04430379746835443,0.25190839694656486,0.32038834951456313,0.20754716981132076,100,149
2608.09772v1,lead3,ok,0.2081447963800905,0.3709677419354839,0.14465408805031446,0.03652968036529681,0.06557377049180328,0.02531645569620253,0.17194570135746606,0.3064516129032258,0.11949685534591195,62,149
2608.09772v1,extractive,ok,0.28355957767722473,0.1865079365079365,0.5911949685534591,0.04841149773071104,0.03180914512922465,0.10126582278481013,0.25641025641025644,0.16865079365079366,0.5345911949685535,495,149
2608.09767v1,full,ok,0.24028268551236748,0.3269230769230769,0.18994413407821228,0.042704626334519574,0.05825242718446602,0.033707865168539325,0.22614840989399293,0.3076923076923077,0.1787709497206704,100,159
2608.09767v1,lead3,ok,0.1947565543071161,0.29545454545454547,0.1452513966480447,0.04528301886792453,0.06896551724137931,0.033707865168539325,0.18726591760299624,0.2840909090909091,0.13966480446927373,87,159
2608.09767v1,extractive,ok,0.35813366960907944,0.23127035830618892,0.7932960893854749,0.15423514538558786,0.09951060358890701,0.34269662921348315,0.3329129886506936,0.21498371335504887,0.7374301675977654,569,159
2608.09766v1,full,ok,0.3049327354260089,0.3063063063063063,0.30357142857142855,0.036199095022624424,0.03636363636363636,0.036036036036036036,0.28699551569506726,0.2882882882882883,0.2857142857142857,110,107
2608.09766v1,lead3,ok,0.30222222222222217,0.3008849557522124,0.30357142857142855,0.03587443946188341,0.03571428571428571,0.036036036036036036,0.24888888888888888,0.24778761061946902,0.25,112,107
2608.09766v1,extractive,ok,0.2070015220700152,0.12477064220183487,0.6071428571428571,0.015267175572519083,0.009191176470588236,0.04504504504504504,0.17656012176560124,0.10642201834862386,0.5178571428571429,533,107
